id,station_name,zip_code,charge_level,latitude,longitude,modified,created,connector_type,price,site_id,status,insert stations
1244,"The Standard, Hollywood - Tesla Destination",90069,2,34.095888,-118.370972,2021-03-11 23:22:17+00:00,09/01/2017,J1772 TESLA,0,621,available,"('The Standard, Hollywood - Tesla Destination', 2, Point(-118.370972, 34.095888), '2021-03-11 23:22:17+00:00', '2017-09-01 00:00:00', 'J1772 TESLA', 0, 621),"
1245,"The Standard, Hollywood - Tesla Destination",90069,2,34.095888,-118.370972,2021-03-11 23:22:17+00:00,09/01/2017,J1772 TESLA,0,621,available,"('The Standard, Hollywood - Tesla Destination', 2, Point(-118.370972, 34.095888), '2021-03-11 23:22:17+00:00', '2017-09-01 00:00:00', 'J1772 TESLA', 0, 621),"
1246,The Willows Historic Palm Springs Inn - Tesla Destination,92262,2,33.823047,-116.550613,2021-03-11 23:22:17+00:00,08/01/2015,J1772 TESLA,0,622,available,"('The Willows Historic Palm Springs Inn - Tesla Destination', 2, Point(-116.550613, 33.823047), '2021-03-11 23:22:17+00:00', '2015-08-01 00:00:00', 'J1772 TESLA', 0, 622),"
1247,The Willows Historic Palm Springs Inn - Tesla Destination,92262,2,33.823047,-116.550613,2021-03-11 23:22:17+00:00,08/01/2015,J1772 TESLA,0,622,available,"('The Willows Historic Palm Springs Inn - Tesla Destination', 2, Point(-116.550613, 33.823047), '2021-03-11 23:22:17+00:00', '2015-08-01 00:00:00', 'J1772 TESLA', 0, 622),"
1248,Thomas George Estates - Tesla Destination,95448,2,38.522641,-122.878608,2021-03-11 23:22:17+00:00,09/01/2017,TESLA,0,623,available,"('Thomas George Estates - Tesla Destination', 2, Point(-122.878608, 38.522641), '2021-03-11 23:22:17+00:00', '2017-09-01 00:00:00', 'TESLA', 0, 623),"
1249,Thomas George Estates - Tesla Destination,95448,2,38.522641,-122.878608,2021-03-11 23:22:17+00:00,09/01/2017,TESLA,0,623,available,"('Thomas George Estates - Tesla Destination', 2, Point(-122.878608, 38.522641), '2021-03-11 23:22:17+00:00', '2017-09-01 00:00:00', 'TESLA', 0, 623),"
1250,Thomas George Estates - Tesla Destination,95448,2,38.522641,-122.878608,2021-03-11 23:22:17+00:00,09/01/2017,TESLA,0,623,available,"('Thomas George Estates - Tesla Destination', 2, Point(-122.878608, 38.522641), '2021-03-11 23:22:17+00:00', '2017-09-01 00:00:00', 'TESLA', 0, 623),"
1251,Thomas George Estates - Tesla Destination,95448,2,38.522641,-122.878608,2021-03-11 23:22:17+00:00,09/01/2017,TESLA,0,623,available,"('Thomas George Estates - Tesla Destination', 2, Point(-122.878608, 38.522641), '2021-03-11 23:22:17+00:00', '2017-09-01 00:00:00', 'TESLA', 0, 623),"
1252,Tin Canteen - Tesla Destination,93446,2,35.575535,-120.690239,2021-03-11 23:22:17+00:00,03/01/2019,J1772 TESLA,0,624,available,"('Tin Canteen - Tesla Destination', 2, Point(-120.690239, 35.575535), '2021-03-11 23:22:17+00:00', '2019-03-01 00:00:00', 'J1772 TESLA', 0, 624),"
1253,Tin Canteen - Tesla Destination,93446,2,35.575535,-120.690239,2021-03-11 23:22:17+00:00,03/01/2019,J1772 TESLA,0,624,available,"('Tin Canteen - Tesla Destination', 2, Point(-120.690239, 35.575535), '2021-03-11 23:22:17+00:00', '2019-03-01 00:00:00', 'J1772 TESLA', 0, 624),"
